age_group,initial_grade,bbd_severity_label,technique,deflux_volume_ml,mean_forward_flow_ml_s,reflux_fraction,filling_reflux_fraction,voiding_reflux_fraction,obstruction_index,peak_pelvis_pa,severe_obstruction_any
12_18m,2,severe,sting,0.45,0.002033036053789402,0.13544488100568874,0.0027997834921735807,0.4618310527590133,0.23090903137794477,913.4287860078023,0
12_18m,2,severe,sting,0.5,0.0020201872720006526,0.1361828214215453,0.0028164277038478756,0.4633825988186929,0.23295322019207193,913.5214609339898,0
12_18m,2,severe,sting,0.55,0.0020086742404084017,0.13685088303684512,0.002831520054909717,0.4647818896406968,0.2348089536081125,913.6045005055315,0
12_18m,2,severe,sting,0.6,0.0019983575955428877,0.13745509351290158,0.002845189814105694,0.46604310409464933,0.23649152705616988,913.6789101931605,0
12_18m,2,severe,sting,0.7,0.001980149563904272,0.13853454501225387,0.002869658623927766,0.46828614726274254,0.2395075141554015,913.8102354375599,0
12_18m,2,severe,sting,0.8,0.0019636868019185967,0.13952517261887687,0.0028921672890904167,0.47033323001187743,0.2422866560839807,913.9289710099849,0
12_18m,2,severe,sting,1.0,0.0019328413824391249,0.14141978265850608,0.002935370472515534,0.4742183434029291,0.24763227728037107,914.1514348097975,0
12_18m,2,severe,sting,1.2,0.0019033486336048166,0.1432798967010262,0.002977989723608169,0.4779949334493787,0.2529197863319802,914.3641369275804,0
12_18m,2,severe,sting,1.5,0.0018609531806502988,0.14604086504216346,0.0030415861624692184,0.4835329024992625,0.26084067262778776,914.6698829020772,0
12_18m,2,severe,sting,2.0,0.0017948125272441368,0.15056921374401575,0.0031467120322687487,0.49245802538713995,0.274040703866803,915.146744332719,0
12_18m,2,severe,hit,0.0,0.009396140627260624,0.4875364973576263,0.11370702398105412,0.798791964040719,0.0062500000000000186,929.2837833617418,0
12_18m,2,severe,hit,0.05,0.008870125315366524,0.41057743390931667,0.0718236242706885,0.7536511797857768,0.006502512145229708,910.7971812028444,0
12_18m,2,severe,hit,0.1,0.007583787798667566,0.09937198245782064,0.0050245020956134,0.3638687004321319,0.010221130383336016,877.4081664517998,0
12_18m,2,severe,hit,0.15,0.005917257683344628,0.03841433741836859,0.0,0.18435142336141944,0.030725888128389542,884.7044215827061,0
12_18m,2,severe,hit,0.2,0.0037859460297105787,0.03532903500218837,0.0,0.174871723040309,0.08698221895118877,899.3494922947616,0
12_18m,2,severe,hit,0.25,0.0037540122672120434,0.03561981603712599,0.0,0.17608898575459486,0.08833704753004483,899.5803615104649,0
12_18m,2,severe,hit,0.3,0.0037068235526945704,0.03605824621472639,0.0,0.17791776863308834,0.09038340559143546,899.9215106429028,0
12_18m,2,severe,hit,0.35,0.0036456319798324217,0.03664287319708201,0.0,0.18034420506459517,0.09311889245246206,900.3638786940451,0
12_18m,2,severe,hit,0.4,0.003577245312098163,0.037318130418205246,0.0,0.18313645723084976,0.09629531649602141,900.8581694610154,0
