v50_ml,k,age_group,initial_grade,bbd_severity_label,recommended_technique,deflux_volume_ml,reflux_fraction,obstruction_index,reference_technique,reference_volume_ml,changed_vs_reference,sampling_protocol
0.45,8.0,18_24m,3,none,double_hit_plus_sting,0.80,0.0000,0.0510,double_hit,0.60,1,18_24m; female_reference; grade5_tortuosity_2.5
0.45,8.0,18_24m,3,moderate,double_hit,0.60,0.0000,0.0858,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.45,8.0,18_24m,3,severe,double_hit,0.60,0.0000,0.0858,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.45,8.0,18_24m,4,none,double_hit,0.80,0.0000,0.0502,double_hit,0.80,0,18_24m; female_reference; grade5_tortuosity_2.5
0.45,8.0,18_24m,4,moderate,double_hit,1.00,0.0000,0.1270,double_hit,0.80,1,18_24m; female_reference; grade5_tortuosity_2.5
0.45,8.0,18_24m,4,severe,double_hit,1.00,0.0000,0.1270,double_hit,0.80,1,18_24m; female_reference; grade5_tortuosity_2.5
0.45,8.0,18_24m,5,none,double_hit,1.20,0.0074,0.0939,double_hit_plus_sting,1.50,1,18_24m; female_reference; grade5_tortuosity_2.5
0.45,8.0,18_24m,5,moderate,double_hit,1.20,0.0367,0.0939,double_hit_plus_sting,1.50,1,18_24m; female_reference; grade5_tortuosity_2.5
0.45,8.0,18_24m,5,severe,double_hit,1.20,0.0913,0.0939,double_hit_plus_sting,1.50,1,18_24m; female_reference; grade5_tortuosity_2.5
0.45,12.0,18_24m,1,none,double_hit,0.60,0.0000,0.1194,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.45,12.0,18_24m,1,moderate,double_hit,0.60,0.0000,0.1194,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.45,12.0,18_24m,1,severe,double_hit,0.60,0.0000,0.1194,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.45,12.0,18_24m,2,none,double_hit_plus_sting,0.80,0.0000,0.1088,double_hit,0.60,1,18_24m; female_reference; grade5_tortuosity_2.5
0.45,12.0,18_24m,2,moderate,double_hit_plus_sting,0.80,0.0000,0.1088,double_hit,0.60,1,18_24m; female_reference; grade5_tortuosity_2.5
0.45,12.0,18_24m,2,severe,double_hit_plus_sting,0.80,0.0000,0.1088,double_hit,0.60,1,18_24m; female_reference; grade5_tortuosity_2.5
0.45,12.0,18_24m,3,none,double_hit_plus_sting,1.00,0.0000,0.0455,double_hit,0.60,1,18_24m; female_reference; grade5_tortuosity_2.5
0.45,12.0,18_24m,3,moderate,double_hit,0.80,0.0000,0.1220,double_hit,0.60,1,18_24m; female_reference; grade5_tortuosity_2.5
0.45,12.0,18_24m,3,severe,double_hit,0.80,0.0000,0.1220,double_hit,0.60,1,18_24m; female_reference; grade5_tortuosity_2.5
0.45,12.0,18_24m,4,none,double_hit,1.00,0.0000,0.1088,double_hit,0.80,1,18_24m; female_reference; grade5_tortuosity_2.5
0.45,12.0,18_24m,4,moderate,double_hit,1.00,0.0000,0.1088,double_hit,0.80,1,18_24m; female_reference; grade5_tortuosity_2.5
0.45,12.0,18_24m,4,severe,double_hit,1.00,0.0000,0.1088,double_hit,0.80,1,18_24m; female_reference; grade5_tortuosity_2.5
0.45,12.0,18_24m,5,none,double_hit_plus_sting,2.00,0.0009,0.0934,double_hit_plus_sting,1.50,1,18_24m; female_reference; grade5_tortuosity_2.5
0.45,12.0,18_24m,5,moderate,double_hit_plus_sting,2.00,0.0106,0.0934,double_hit_plus_sting,1.50,1,18_24m; female_reference; grade5_tortuosity_2.5
0.45,12.0,18_24m,5,severe,double_hit_plus_sting,2.00,0.0385,0.0934,double_hit_plus_sting,1.50,1,18_24m; female_reference; grade5_tortuosity_2.5
0.45,16.0,18_24m,1,none,double_hit,0.60,0.0000,0.0783,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.45,16.0,18_24m,1,moderate,double_hit,0.60,0.0000,0.0783,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.45,16.0,18_24m,1,severe,double_hit,0.60,0.0000,0.0783,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.45,16.0,18_24m,2,none,double_hit,0.60,0.0000,0.0510,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.45,16.0,18_24m,2,moderate,double_hit,0.60,0.0000,0.0510,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.45,16.0,18_24m,2,severe,double_hit,0.80,0.0000,0.1249,double_hit,0.60,1,18_24m; female_reference; grade5_tortuosity_2.5
0.45,16.0,18_24m,3,none,double_hit,0.80,0.0000,0.0872,double_hit,0.60,1,18_24m; female_reference; grade5_tortuosity_2.5
0.45,16.0,18_24m,3,moderate,double_hit,0.80,0.0000,0.0872,double_hit,0.60,1,18_24m; female_reference; grade5_tortuosity_2.5
0.45,16.0,18_24m,3,severe,double_hit,0.80,0.0000,0.0872,double_hit,0.60,1,18_24m; female_reference; grade5_tortuosity_2.5
0.45,16.0,18_24m,4,none,double_hit_plus_sting,1.50,0.0000,0.0438,double_hit,0.80,1,18_24m; female_reference; grade5_tortuosity_2.5
0.45,16.0,18_24m,4,moderate,double_hit,1.20,0.0000,0.1333,double_hit,0.80,1,18_24m; female_reference; grade5_tortuosity_2.5
0.45,16.0,18_24m,4,severe,double_hit,1.20,0.0000,0.1333,double_hit,0.80,1,18_24m; female_reference; grade5_tortuosity_2.5
0.45,16.0,18_24m,5,none,hit,0.80,0.0352,0.1441,double_hit_plus_sting,1.50,1,18_24m; female_reference; grade5_tortuosity_2.5
0.45,16.0,18_24m,5,moderate,double_hit_plus_sting,2.00,0.1008,0.0714,double_hit_plus_sting,1.50,1,18_24m; female_reference; grade5_tortuosity_2.5
0.45,16.0,18_24m,5,severe,double_hit_plus_sting,2.00,0.1853,0.0714,double_hit_plus_sting,1.50,1,18_24m; female_reference; grade5_tortuosity_2.5
